iter	Passed	Remaining
0	6	6110
1	12	6316
2	18	6047
3	23	5899
4	26	5183
5	30	5040
6	34	4843
7	36	4560
8	39	4386
9	42	4252
10	44	4042
11	46	3835
12	48	3656
13	50	3539
14	52	3440
15	53	3316
16	55	3231
17	57	3148
18	59	3078
19	61	3010
20	63	2950
21	65	2903
22	67	2868
23	69	2824
24	71	2782
25	73	2742
26	74	2702
27	76	2672
28	78	2638
29	80	2608
30	82	2584
31	84	2555
32	86	2532
33	88	2512
34	90	2491
35	92	2471
36	94	2451
37	96	2433
38	98	2417
39	99	2386
40	101	2375
41	103	2365
42	105	2353
43	107	2339
44	109	2322
45	111	2304
46	112	2287
47	114	2264
48	115	2241
49	117	2230
50	118	2207
51	120	2198
52	122	2183
53	124	2176
54	126	2167
55	128	2158
56	129	2140
57	131	2132
58	132	2114
59	134	2105
60	136	2100
61	138	2093
62	140	2086
63	142	2078
64	144	2074
65	146	2067
66	147	2059
67	149	2055
68	151	2037
69	152	2031
70	154	2018
71	155	2007
72	157	2004
73	159	1995
74	160	1983
75	162	1980
76	165	1978
77	166	1973
78	168	1961
79	169	1947
80	171	1943
81	173	1938
82	174	1924
83	175	1919
84	177	1914
85	179	1905
86	181	1900
87	183	1896
88	184	1893
89	186	1888
90	188	1882
91	190	1879
92	192	1874
93	193	1866
94	195	1862
95	197	1861
96	198	1851
97	200	1847
98	202	1843
99	204	1842
100	206	1834
101	208	1832
102	210	1831
103	211	1821
104	213	1823
105	215	1820
106	218	1820
107	219	1811
108	221	1807
109	222	1799
110	224	1798
111	226	1796
112	228	1792
113	230	1790
114	232	1787
115	234	1784
116	236	1782
117	237	1774
118	239	1771
119	241	1768
120	243	1767
121	245	1765
122	247	1761
123	248	1758
124	250	1756
125	252	1753
126	254	1749
127	256	1747
128	258	1745
129	260	1743
130	262	1740
131	264	1739
132	266	1736
133	268	1733
134	270	1731
135	272	1729
136	274	1727
137	276	1725
138	278	1723
139	280	1720
140	281	1717
141	283	1715
142	285	1712
143	287	1709
144	289	1706
145	291	1704
146	293	1701
147	295	1700
148	297	1698
149	299	1695
150	300	1691
151	302	1689
152	305	1688
153	306	1685
154	308	1683
155	310	1681
156	312	1678
157	314	1675
158	316	1672
159	318	1670
160	320	1668
161	322	1666
162	324	1665
163	326	1662
164	327	1659
165	329	1657
166	332	1656
167	334	1657
168	337	1657
169	339	1656
170	341	1654
171	343	1652
172	345	1650
173	346	1646
174	348	1645
175	350	1642
176	352	1639
177	354	1636
178	356	1633
179	358	1631
180	360	1629
181	361	1626
182	364	1625
183	365	1622
184	367	1620
185	369	1617
186	371	1616
187	373	1613
188	374	1607
189	376	1605
190	378	1603
191	380	1600
192	382	1598
193	384	1596
194	386	1593
195	387	1591
196	389	1589
197	392	1588
198	394	1586
199	395	1583
200	398	1582
201	399	1579
202	401	1576
203	402	1571
204	404	1569
205	406	1567
206	408	1565
207	410	1563
208	412	1561
209	414	1559
210	416	1556
211	418	1554
212	420	1552
213	421	1549
214	423	1547
215	425	1545
216	427	1543
217	429	1540
218	431	1539
219	433	1536
220	435	1534
221	437	1534
222	440	1533
223	442	1532
224	444	1531
225	446	1529
226	448	1527
227	450	1524
228	451	1519
229	453	1517
230	455	1516
231	457	1514
232	459	1511
233	461	1509
234	463	1507
235	465	1505
236	467	1503
237	468	1501
238	470	1499
239	472	1496
240	474	1494
241	476	1492
242	478	1490
243	480	1488
244	482	1486
245	484	1484
246	486	1482
247	488	1480
248	490	1478
249	492	1476
250	494	1474
251	495	1470
252	497	1469
253	499	1466
254	501	1464
255	503	1462
256	505	1461
257	507	1458
258	509	1456
259	511	1454
260	513	1452
261	514	1450
262	516	1448
263	518	1446
264	520	1443
265	522	1441
266	524	1438
267	525	1434
268	527	1432
269	529	1430
270	531	1429
271	533	1426
272	534	1424
273	536	1422
274	538	1420
275	540	1418
276	542	1416
277	545	1415
278	546	1413
279	548	1411
280	551	1410
281	552	1407
282	554	1405
283	556	1403
284	558	1401
285	560	1399
286	562	1396
287	564	1394
288	566	1392
289	568	1390
290	569	1388
291	571	1386
292	573	1384
293	575	1382
294	577	1380
295	579	1378
296	581	1376
297	583	1375
298	585	1373
299	587	1371
300	589	1369
301	591	1367
302	593	1365
303	595	1363
304	597	1361
305	599	1360
306	601	1358
307	603	1356
308	605	1354
309	607	1352
310	609	1350
311	611	1348
312	613	1346
313	615	1344
314	617	1342
315	619	1340
316	621	1338
317	623	1336
318	625	1335
319	627	1333
320	629	1330
321	631	1328
322	633	1327
323	635	1325
324	637	1323
325	639	1321
326	641	1319
327	642	1316
328	644	1314
329	646	1312
330	648	1310
331	650	1308
332	652	1307
333	654	1305
334	656	1303
335	658	1301
336	660	1299
337	662	1297
338	664	1295
339	666	1293
340	668	1291
341	670	1289
342	672	1287
343	674	1285
344	675	1283
345	677	1281
346	680	1279
347	682	1278
348	684	1276
349	686	1274
350	688	1272
351	690	1270
352	692	1268
353	694	1266
354	696	1264
355	697	1262
356	699	1260
357	701	1258
358	703	1256
359	705	1254
360	707	1252
361	709	1250
362	711	1248
363	713	1246
364	715	1244
365	717	1242
366	719	1240
367	721	1238
368	723	1236
369	724	1234
370	726	1232
371	728	1230
372	730	1228
373	732	1226
374	734	1224
375	736	1222
376	738	1220
377	740	1218
378	742	1217
379	744	1215
380	746	1213
381	748	1211
382	750	1209
383	752	1207
384	754	1205
385	756	1203
386	758	1201
387	760	1199
388	762	1197
389	764	1195
390	766	1193
391	768	1192
392	770	1189
393	772	1188
394	774	1185
395	776	1183
396	778	1181
397	780	1179
398	781	1177
399	784	1176
400	786	1174
401	788	1172
402	790	1170
403	792	1168
404	793	1166
405	795	1164
406	797	1162
407	800	1160
408	801	1158
409	803	1156
410	805	1154
411	807	1152
412	809	1150
413	811	1148
414	813	1146
415	815	1145
416	817	1142
417	819	1141
418	821	1139
419	823	1136
420	825	1134
421	827	1133
422	829	1131
423	831	1129
424	833	1127
425	835	1125
426	837	1123
427	839	1121
428	841	1119
429	842	1117
430	844	1115
431	846	1113
432	848	1111
433	851	1109
434	852	1107
435	855	1106
436	856	1103
437	859	1102
438	860	1100
439	862	1098
440	864	1096
441	866	1094
442	868	1092
443	870	1090
444	872	1088
445	875	1086
446	876	1084
447	878	1082
448	880	1081
449	882	1078
450	884	1076
